year,month,day,r,theta,model
1990,11,22,1.1861,88.34,2D Geliosphere
1990,12,19,1.4460,88.05,2D Geliosphere
1991,1,15,1.7398,88.01,2D Geliosphere
1991,2,11,2.0406,88.06,2D Geliosphere
1991,3,11,2.3488,88.14,2D Geliosphere
1991,4,7,2.6382,88.22,2D Geliosphere
1991,5,4,2.9189,88.3,2D Geliosphere
1991,5,31,3.1906,88.38,2D Geliosphere
1991,6,28,3.4633,88.45,2D Geliosphere
1991,7,25,3.7179,88.51,2D Geliosphere
1991,8,21,3.9649,88.57,2D Geliosphere
1991,9,18,4.2135,88.63,2D Geliosphere
1991,10,15,4.4465,88.68,2D Geliosphere
1991,11,11,4.6734,88.72,2D Geliosphere
1991,12,8,4.8948,88.77,2D Geliosphere
1992,1,5,5.1194,88.81,2D Geliosphere
1992,2,1,5.3340,88.85,2D Geliosphere
1992,2,28,5.4018,89.92,2D Geliosphere
1992,3,26,5.3960,91.25,2D Geliosphere
1992,4,23,5.3852,92.63,2D Geliosphere
1992,5,20,5.3704,93.96,2D Geliosphere
1992,6,16,5.3510,95.3,2D Geliosphere
1992,7,14,5.3261,96.69,2D Geliosphere
1992,8,10,5.2975,98.05,2D Geliosphere
1992,9,6,5.2644,99.43,2D Geliosphere
1992,10,3,5.2266,100.82,2D Geliosphere
1992,10,31,5.1825,102.28,2D Geliosphere
1992,11,27,5.1352,103.72,2D Geliosphere
1992,12,24,5.0831,105.19,2D Geliosphere
1993,1,21,5.0240,106.74,2D Geliosphere
1993,2,17,4.9619,108.28,2D Geliosphere
1993,3,16,4.8950,109.85,2D Geliosphere
1993,4,12,4.8229,111.47,2D Geliosphere
1993,5,10,4.7427,113.2,2D Geliosphere
1993,6,6,4.6601,114.92,2D Geliosphere
1993,7,3,4.5721,116.71000000000001,2D Geliosphere
1993,7,30,4.4786,118.57,2D Geliosphere
1993,8,27,4.3757,120.59,2D Geliosphere
1993,9,23,4.2706,122.62,2D Geliosphere
1993,10,20,4.1597,124.75999999999999,2D Geliosphere
1993,11,17,4.0382,127.1,2D Geliosphere
1993,12,14,3.9148,129.49,2D Geliosphere
1994,1,10,3.7850,132.04,2D Geliosphere
1994,2,6,3.6487,134.77,2D Geliosphere
1994,3,6,3.5003,137.81,2D Geliosphere
1994,4,2,3.3502,140.99,2D Geliosphere
1994,4,29,3.1932,144.45,2D Geliosphere
1994,5,26,3.0293,148.24,2D Geliosphere
1994,6,23,2.8521,152.56,2D Geliosphere
1994,7,20,2.6746,157.13,2D Geliosphere
1994,8,16,2.4911,162.03,2D Geliosphere
1994,9,13,2.2959,166.92000000000002,2D Geliosphere
1994,10,10,2.1050,169.1,2D Geliosphere
1994,11,6,1.9153,164.99,2D Geliosphere
1994,12,3,1.7330,155.43,2D Geliosphere
1994,12,31,1.5627,141.52,2D Geliosphere
1995,1,27,1.4322,124.63,2D Geliosphere
1995,2,23,1.3539,104.82,2D Geliosphere
1995,3,23,1.3443,82.8,2D Geliosphere
1995,4,19,1.4062,62.43,2D Geliosphere
1995,5,16,1.5250,44.67,2D Geliosphere
1995,6,12,1.6819,30.21,2D Geliosphere
1995,7,10,1.8672,18.83,2D Geliosphere
1995,8,6,2.0557,12.079999999999998,2D Geliosphere
1995,9,2,2.2468,11.310000000000002,2D Geliosphere
1995,9,29,2.4360,14.909999999999997,2D Geliosphere
1995,10,27,2.6278,19.739999999999995,2D Geliosphere
1995,11,23,2.8069,24.290000000000006,2D Geliosphere
1995,12,20,2.9796,28.509999999999998,2D Geliosphere
1996,1,17,3.1516,32.5,2D Geliosphere
1996,2,13,3.3104,36.02,2D Geliosphere
1996,3,11,3.4623,39.26,2D Geliosphere,2D Geliosphere
1996,4,7,3.6073,42.24,2D Geliosphere
1996,5,5,3.7506,45.12,2D Geliosphere
1996,6,1,3.8821,47.7,2D Geliosphere
1996,6,28,4.0072,50.13,2D Geliosphere
1996,7,25,4.1261,52.42,2D Geliosphere
1996,8,22,4.2429,54.66,2D Geliosphere
1996,9,18,4.3496,56.72,2D Geliosphere
1996,10,15,4.4504,58.68,2D Geliosphere
1996,11,12,4.5491,60.629999999999995,2D Geliosphere
1996,12,9,4.6386,62.43,2D Geliosphere
1997,1,5,4.7228,64.17,2D SolarProp-like
1997,2,1,4.8016,65.86,2D Geliosphere
1997,3,1,4.8780,67.53999999999999,2D Geliosphere
1998,12,15,5.2291,100.93,2D Geliosphere
1999,1,12,5.1848,102.39,2D Geliosphere
1999,2,8,5.1373,103.83,2D Geliosphere
1999,3,7,5.0850,105.28999999999999,2D Geliosphere
1999,4,3,5.0279,106.78,2D Geliosphere
1999,5,1,4.9636,108.37,2D Geliosphere
1999,5,28,4.8965,109.94,2D Geliosphere
1999,6,24,4.8243,111.56,2D Geliosphere
1999,7,21,4.7470,113.23,2D Geliosphere
1999,8,18,4.6613,115.02,2D Geliosphere
1999,9,14,4.5732,116.8,2D Geliosphere
1999,10,11,4.4796,118.66,2D Geliosphere
1999,11,8,4.3767,120.68,2D Geliosphere
1999,12,5,4.2715,122.71000000000001,2D Geliosphere
2000,1,1,4.1605,124.85,2D Geliosphere
2000,1,28,4.0435,127.1,2D Geliosphere
2000,2,25,3.9156,129.57999999999998,2D Geliosphere
2000,3,23,3.7858,132.12,2D Geliosphere
2000,4,19,3.6495,134.85,2D Geliosphere
2000,5,16,3.5065,137.78,2D Geliosphere
2000,6,13,3.3510,141.07,2D Geliosphere
2000,7,10,3.1941,144.53,2D Geliosphere
2000,8,6,3.0302,148.31,2D Geliosphere
2000,9,3,2.8530,152.63,2D Geliosphere
2000,9,30,2.6755,157.19,2D Geliosphere
2000,10,27,2.4921,162.07999999999998,2D Geliosphere
2000,11,23,2.3039,166.79000000000002,2D Geliosphere
2000,12,21,2.1060,169.09,2D Geliosphere
2001,1,17,1.9163,164.94,2D Geliosphere
2001,2,13,1.7340,155.38,2D Geliosphere
2001,3,13,1.5635,141.49,2D Geliosphere
2001,4,9,1.4329,124.62,2D Geliosphere
2001,5,6,1.3543,104.83,2D Geliosphere
2001,6,2,1.3434,83.6,2D Geliosphere
2001,6,30,1.4059,62.44,2D Geliosphere
2001,7,27,1.5245,44.67,2D Geliosphere
2001,8,23,1.6812,30.200000000000003,2D Geliosphere
2001,9,19,1.8594,19.150000000000006,2D Geliosphere
2001,10,17,2.0548,12.069999999999993,2D Geliosphere
2001,11,13,2.2458,11.329999999999998,2D Geliosphere
2001,12,10,2.4350,14.950000000000003,2D Geliosphere
